"Model","Scenario","Region","X2045","X2046","X2047","X2048","X2049","X2050"
"GCAM 6.0 NGFS","Fragmented World","LVA",-0.01440682019,-0.01491140808,-0.01527479924,-0.01548769917,-0.01568365464,-0.01582921591
"GCAM 6.0 NGFS","Fragmented World","LTU",-0.02261582947,-0.02368189732,-0.02455832202,-0.02531360151,-0.02587436787,-0.0262153011
"GCAM 6.0 NGFS","Fragmented World","MYS",-0.1203120873,-0.1251477464,-0.1297570303,-0.1338784933,-0.1373112595,-0.1398919646
"GCAM 6.0 NGFS","Fragmented World","MEX",-0.1209382864,-0.1257383393,-0.1302429503,-0.1342047521,-0.1374328613,-0.139754743
"GCAM 6.0 NGFS","Fragmented World",NA,-0.1516069062,-0.157833718,-0.1638572816,-0.1693128355,-0.1739512901,-0.1775369352
"GCAM 6.0 NGFS","Fragmented World","NLD",-0.05489812898,-0.05727886972,-0.05969117075,-0.06201757597,-0.06412463887,-0.06578204426
"GCAM 6.0 NGFS","Fragmented World","NZL",-0.06478965587,-0.06751580101,-0.07010426821,-0.07245021475,-0.0744731362,-0.07604588495
"GCAM 6.0 NGFS","Fragmented World","NOR",-0.00700660512,-0.00738914668,-0.00772264875,-0.00789303261,-0.00798719572,-0.00808877071
"GCAM 6.0 NGFS","Fragmented World","POL",-0.05722302474,-0.05899932765,-0.06056938661,-0.06190198227,-0.06286229198,-0.06341133758
"GCAM 6.0 NGFS","Fragmented World","PRT",-0.09271943691,-0.09657106258,-0.1000827343,-0.1030748235,-0.105477702,-0.1072225177
"GCAM 6.0 NGFS","Fragmented World","ROU",-0.08535823706,-0.08997306588,-0.09452704525,-0.09892065686,-0.1030447739,-0.1066995246
"GCAM 6.0 NGFS","Fragmented World","RUS",-0.02079206313,-0.02209683704,-0.0236355644,-0.02522145187,-0.02682026813,-0.02840725242
"GCAM 6.0 NGFS","Fragmented World","SGP",-0.1231377413,-0.1283569934,-0.1334175976,-0.1380917734,-0.1421094106,-0.1451782411
"GCAM 6.0 NGFS","Fragmented World","SVK",-0.0655866619,-0.0686922774,-0.07147426522,-0.07393243593,-0.07586025727,-0.07714153647
"GCAM 6.0 NGFS","Fragmented World","SVN",-0.07600068879,-0.0787747076,-0.08132422206,-0.08358395634,-0.08544403924,-0.08678229684
"GCAM 6.0 NGFS","Fragmented World","ZAF",-0.1336758579,-0.1398036113,-0.1455994026,-0.1507336084,-0.1549864077,-0.1581338687
"GCAM 6.0 NGFS","Fragmented World","KOR",-0.08624855511,-0.08925041774,-0.09186318627,-0.09404296721,-0.09582237886,-0.09709903121
"GCAM 6.0 NGFS","Fragmented World","ESP",-0.1031590822,-0.1073554528,-0.1112606051,-0.1147330641,-0.1175990974,-0.1196765499
"GCAM 6.0 NGFS","Fragmented World","SWE",-0.02052812045,-0.02153207169,-0.02266175968,-0.02375555449,-0.02478946166,-0.02570417751
"GCAM 6.0 NGFS","Fragmented World","CHE",-0.06106448545,-0.06343922878,-0.06583671687,-0.06799944556,-0.06997516753,-0.07182199149
"GCAM 6.0 NGFS","Fragmented World","TWN",-0.09738246721,-0.1010422515,-0.1044746721,-0.1074269572,-0.1098180166,-0.1115838159
"GCAM 6.0 NGFS","Fragmented World","TUR",-0.09616166564,-0.09995693677,-0.103520968,-0.1066623283,-0.1092622059,-0.1111835357
"GCAM 6.0 NGFS","Fragmented World","GBR",-0.05114301154,-0.05280553859,-0.05441297522,-0.05579263895,-0.05690244225,-0.05765271766
"GCAM 6.0 NGFS","Fragmented World","USA",-0.08874795438,-0.09224735388,-0.09544656119,-0.09823699971,-0.1005401855,-0.1022635477
"GCAM 6.0 NGFS","Fragmented World","VNM",-0.1304094347,-0.1356054051,-0.1405586784,-0.1450054414,-0.1487278277,-0.1515221075
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.1338122398,-0.13928732,-0.1452874158,-0.1506614996,-0.155126143,-0.1587645984
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","ARG",-0.06703825679,-0.06942355343,-0.07196053253,-0.07406148849,-0.07567929385,-0.0768368055
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.1274147334,-0.1322518468,-0.1377113225,-0.1426621072,-0.1467490273,-0.1499261913
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","AUS",-0.1166789703,-0.121519819,-0.1269003937,-0.1317146638,-0.1357446284,-0.1390306585
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","AUT",-0.07162194028,-0.07462802217,-0.07776060223,-0.08066061688,-0.08310253301,-0.08492717662
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","BEL",-0.06271384312,-0.06549496402,-0.06859814611,-0.07134078387,-0.07365360808,-0.07551783847
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","BRA",-0.1450794214,-0.1506559104,-0.156755629,-0.1621877598,-0.1666874654,-0.1702466499
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","BGR",-0.07716085184,-0.08036860036,-0.08392854385,-0.08707641115,-0.08965861582,-0.09171220176
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","CAN",0.01372756639,0.014903519,0.01617439272,0.01746696557,0.01853477401,0.01944839313
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","CHL",-0.05614459276,-0.05842423065,-0.06092128883,-0.06309019474,-0.06478817824,-0.06607316022
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","CHN",-0.1061625792,-0.1104588461,-0.115200473,-0.1194659386,-0.123044655,-0.1259895063
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","HRV",-0.08344043311,-0.08711266037,-0.09124390008,-0.09498024835,-0.0980424628,-0.100502981
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","CZE",-0.06323351819,-0.06558410565,-0.06820382403,-0.07057920651,-0.07279969694,-0.07464407658
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","DNK",-0.0464507317,-0.04850916802,-0.0505504058,-0.05249813231,-0.05420209018,-0.05553740183
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.06330837309,-0.06548615656,-0.06788149669,-0.06994894286,-0.07159929398,-0.07285242087
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","EGY",-0.1372030375,-0.1428159269,-0.149027837,-0.1546060036,-0.1592295205,-0.1629568921
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","EST",-0.00478556118,-0.00489297256,-0.00495002798,-0.00501537425,-0.00507046234,-0.00511143423
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","FIN",0.01176266553,0.01242333346,0.01317121518,0.01396863088,0.0146525204,0.01517813384
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","FRA",-0.07885289705,-0.08233053908,-0.08616158492,-0.0896111605,-0.09252209753,-0.09493221133
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","DEU",-0.06484553561,-0.06746910307,-0.07038412892,-0.07303448489,-0.07523285668,-0.07695712161
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","GRC",-0.1008257749,-0.1048361227,-0.109088713,-0.1129317406,-0.1161708255,-0.1187679995
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","HKG",-0.1261164788,-0.1315134607,-0.1373919624,-0.1426686607,-0.1471353313,-0.1507769375
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","HUN",-0.07755713292,-0.08066459985,-0.08414874296,-0.08742145358,-0.09019024302,-0.09241623305
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","IND",-0.1260837426,-0.1314094892,-0.1372648017,-0.1424355346,-0.1467199235,-0.1501412984
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","IDN",-0.1268549149,-0.1317978452,-0.1371942632,-0.1419521195,-0.1458225734,-0.1488946624
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","IRL",-0.04252072061,-0.04403503525,-0.0456214664,-0.04699856831,-0.04810671472,-0.04900090499
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","ITA",-0.09177912079,-0.09519539865,-0.09895086395,-0.102357802,-0.1051997608,-0.1074961324
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","JPN",-0.08756873085,-0.09108014627,-0.09490807653,-0.09829232448,-0.1010685331,-0.1032690877
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.1155668168,-0.1202616156,-0.1254297664,-0.1300478362,-0.1338731569,-0.1369782928
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","LVA",-0.01291018227,-0.01349593089,-0.01403523568,-0.01443041224,-0.0147542648,-0.01496737649
